Name,Alias
RNAseL,"RNS4, MGC104972, DKFZp781D08126, RNASEL, MGC133329, RNAseL, PRCA1"
SgK396,"STK31, TDRD8, SgK396, FLJ16102"
SgK196,"MGC126597, SgK196, FLJ23356"
GCN2,"GCN2, KIAA1338, EIF2AK4"
HRI,"EIF2AK1, HRI, KIAA1369"
PEK,"PERK, EIF2AK3, DKFZp781H1925, WRS, PEK"
PKR,"PKR, EIF2AK1, p68, EIF2AK2, PRKR, MGC126524"
PLK1,"PLK1, STPK13, PLK"
PLK3,"PLK3, FNK, CNK, PRK"
PLK2,"PLK2, SNK"
PLK4,"SAK, STK18, PLK4"
SCYL2,"FLJ10074, KIAA1360, SCYL2, CVAK104"
SCYL3,"LOC57147, PACE-1, PACE1, SCYL3, RP1-97P20.2"
SCYL1,"NTKL, TEIF, P105, NKTL, SCYL1, MGC78454, GKLP, TAPK, HT019, TRAP"
SgK071,"RP11-244N20.8, C9orf96, SgK071, MGC43306"
SgK493,"SgK493, MGC125960, LOC91461"
SgK496,SgK496
Slob,"PXK, MONaKA, FLJ20335, Slob"
TBCK,"MGC16169, TBCK, HSPC302"
TLK1,"KIAA0137, PKU-BETA, TLK1"
TLK2,"Hs.57553, MGC44450, PKU-ALPHA, TLK2"
PBK,"SPK, Hs.104741, LOC55872, Nori-3, FLJ14385, TOPK, LOC55886, PBK"
TTK,"TTK, MPS1L1, PYT, ESK, FLJ38280"
Fused,"DKFZp434N0223, Fused, STK36, KIAA1278, FU"
ULK1,"FLJ38455, Unc51.1, ULK1, UNC51, ATG1"
ULK2,"ULK2, KIAA0623, Unc51.2"
ULK3,"FLJ90566, ULK3, DKFZP434C131"
ULK4,"FAM7C1, FLJ20574, DKFZp434E1822, ULK4, REC01035"
PIK3R4,"MGC102700, VPS15, PIK3R4, p150, P150"
Wee1,"FLJ16446, Wee1, WEE1, DKFZp686I18166, WEE1hu"
MYT1,"DKFZp547K1610, FLJ20093, PKMYT1, MYT1"
Wnk1,"KIAA0344, Wnk1, PRKWNK1, WNK1, KDP, PHA2C"
Wnk4,"PRKWNK4, PHA2B, WNK4, Wnk4"
Wnk3,"Wnk3, PRKWNK3, KIAA1566, WNK3"
Wnk2,"PRKWNK2, Wnk2, KIAA1760, WNK2, NY-CO-43, P/OKcl.13, SDCCAG43"
HSER,"HSER, GUCY2C, STAR, GC-C, GUC2C"
CYGF,"ROS-GC2, GUCY2F, CYGF, GC-F, GUC2F, GUC2DL, RETGC-2"
CYGD,"GUCY2D, CYGD, retGC, ROS-GC1, LCA1, LCA, GUC2D, GUC1A4, retGC-1, CORD5, RETGC-1, retGC1, CORD6"
ANPa,"ANPa, GUCY2A, NPR1, ANPRA, NPRA, GUC2A"
ANPb,"ANPRB, ANPb, GUCY2B, GC-B, NPR2, NPRBi, NPRB, AMDM, GUC2B"
MAP3K5,"ASK1, MAPKKK5, MEKK5, NAP160, MAP3K5"
MAP3K6,"MGC20114, MGC125653, MAP3K6, MAPKKK6, ASK2"
MAP3K7,"bA723P2.3, FLJ16518, MAP3K7, MAP3K15"
MAP3K1,"MEKK1, MEKK, MAP3K1, MAPKKK1"
MAP3K8,MAP3K8
MAP3K3,"MAP3K3, MEKK3, MAPKKK3"
MAP3K2,"MAP3K2, LOC51777, MEKK2, MEKK2B"
MAP3K4,"MTK1, MAP3K4, KIAA0213, MEKK4, FLJ42439, MAPKKK4, PRO0412"
OSR1,"OSR1, OXSR1, KIAA1101"
STLK3,"SPAK, STLK3, PASK, DKFZp686K05124, STK39, DCHT"
GCK,"GCK, MAP4K2, RAB8IP, BL44"
KHS2,"MAPKKKK3, MAP4K3, GLK, KHS2, RAB8IPL1"
KHS1,"GCKR, KHS, MAP4K5, KHS1, MAPKKKK5"
HPK1,"MAP4K1, Hs.86575, HPK1"
HGK,"HGK, ZC1"
TNIK,"TNIK, ZC2"
NRK,"NRK, ZC4"
MINK,"MINK, ZC3"
MST2,"p33QIK, STK3, KRS1, FLJ90748, MST2"
MST1,"KRS2, DKFZp686A2068, MST1, Krs-2, STK4, YSK3"
MYO3A,"MYO3A, DFNB30"
MYO3B,MYO3B
PAK1,"MGC130000, MGC130001, PAKalpha, PAK1"
PAK2,"PAK65, PAKgamma, PAK2"
PAK3,"bPAK, MRX30, PAK3beta, CDKN1A, OPHN3, MRX47, hPAK3, PAK3"
PAK4,PAK4
PAK6,"PAK5, PAK6"
PAK5,"MGC26232, PAK5, PAK7, KIAA1264"
LOK,"LOK, STK10, PRO2729"
SLK,"MGC133067, STK2, KIAA0204, SLK, bA16H23.1, se20-9"
STLK6,"CALS-21, MGC102916, PAPK, STLK6, ILPIPA, PRO1038, ILPIP, ALS2CR2"
STLK5,"STRAD, FLJ90524, LYK5, STLK5"
TAO2,"PSK, KIAA0881, TAO2, MAP3K17, PSK1, TAO1, TAOK2"
TAO3,"DKFZp666H245, JIK, FLJ31808, MAP3K18, TAO3, DPK, TAOK3"
TAO1,"KIAA1361, FLJ14314, TAOK1, MARKK, PSK2, MAP3K16, TAO1"
MST3,"MST-3, STK3, STK24, MST3B, MST3"
YSK1,"DKFZp686J1430, STK25, YSK1, SOK1"
MST4,"MST4, MASK, LOC51765, RP6-213H19.1"
MAP2K1,"PRKMK1, MKK1, MAP2K1, MAPKK1, MEK1"
MAP2K2,"MAPKK2, MAP2K2, MKK2, PRKMK2, MEK2"
MAP2K3,"MAP2K3, MEK3, PRKMK3, MKK3, MAPKK3"
MAP2K6,"MAP2K6, PRKMK6, SAPKK3, MAPKK6, MEK6, MKK6"
MAP2K4,"SEK1, MAP2K4, PRKMK4, MAPKK4, MEK4, JNKK1, MKK4, JNKK, SERK1"
MAP2K5,"HsT17454, PRKMK5, MEK5, MAP2K5, MAPKK5"
MAP2K7,"PRKMK7, MAP2K7, MAPKK7, JNKK2, Jnkk2, MKK7"
COT,"ESTF, EST, COT, Tpl-2, MAP3K8, TPL2, TPL-2, FLJ10486, c-COT"
NIK,"NIK, HSNIK, FTDCR1B, MAP3K14, HS"
ABL1,"v-abl, c-ABL, JTK7, ABL, p150, ABL1, c-ab1"
ABL2,"ABL2, ABLL, ARG"
ACK,"TNK2, ACK, FLJ44758, ACK1, FLJ45547, p21cdc42Hs"
TNK1,"TNK1, MGC46193"
ALK,"CD246, ALK, TFG/ALK"
LTK,"LTK, TYK1"
AXL,"Ark, AXL, UFO"
TYRO3,"DTK, RSE, Brt, SKY, BYK, TIF, Tif, TYRO3"
MER,"C-MER, MER, MGC133349, MERTK, mer, c-mer"
CCK4,"PTK7, CCK4"
CSK,"MGC117393, CSK, CYL"
