,ChEMBL_ID,REFERENCE,PUBMED_ID
308,CHEMBL1909400,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
309,CHEMBL1909401,"Bioorg. Med. Chem. Lett., 11, p. 1123 (2001)",11354358
310,CHEMBL156524,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
311,CHEMBL397570,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
312,CHEMBL352222,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
313,CHEMBL160876,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
314,CHEMBL347580,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
315,CHEMBL156263,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
316,CHEMBL157258,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
317,CHEMBL160937,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
318,CHEMBL1909377,"J. Med. Chem., 45, p. 999 (2002)",11855979
319,CHEMBL156987,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
320,CHEMBL160333,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
321,CHEMBL267228,"J. Med. Chem., 45, p. 999 (2002)",11855979
322,CHEMBL1909378,"J. Med. Chem., 45, p. 999 (2002)",11855979
323,CHEMBL399410,"Bioorg. Med. Chem. Lett., 17, p. 5514 (2007)",17826092
324,CHEMBL1909412,"Bioorg. Med. Chem. Lett., 16, p. 378 (2006)",16260133
325,CHEMBL1909414,"Bioorg. Med. Chem. Lett., 18, p. 4373 (2008)",18621524
326,CHEMBL1909413,"Bioorg. Med. Chem. Lett., 16, p. 378 (2006)",16260133
327,CHEMBL1794071,"Bioorg. Med. Chem. Lett., 18, p. 4373 (2008)",18621524
328,CHEMBL237570,"Bioorg. Med. Chem. Lett., 17, p. 5514 (2007)",17826092
329,CHEMBL237571,"Bioorg. Med. Chem. Lett., 17, p. 5514 (2007)",17826092
330,CHEMBL1909342,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
331,CHEMBL1909343,"Bioorg. Med. Chem. Lett., 13, p. 1581 (2003)",12699760
332,CHEMBL1909344,"Bioorg. Med. Chem. Lett., 13, p. 1581 (2003)",12699760
333,CHEMBL1794072,"Bioorg. Med. Chem. Lett., 18, p. 4373 (2008)",18621524
334,CHEMBL1909345,"Bioorg. Med. Chem. Lett., 13, p. 1581 (2003)",12699760
336,CHEMBL408732,"Bioorg. Med. Chem. Lett., 13, p. 3055 (2003)",12941332
337,CHEMBL260417,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
338,CHEMBL261129,"Bioorg. Med. Chem. Lett., 13, p. 3055 (2003)",12941332
339,CHEMBL405021,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
340,CHEMBL189231,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
341,CHEMBL261440,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
342,CHEMBL419903,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
343,CHEMBL188048,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
344,CHEMBL185962,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
345,CHEMBL188240,"Bioorg. Med. Chem. Lett., 15, p. 3407 (2005)",15955699
346,CHEMBL103098,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
347,CHEMBL185710,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
349,CHEMBL408564,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
350,CHEMBL407113,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
351,CHEMBL103080,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
352,CHEMBL102936,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
353,CHEMBL101804,"Bioorg. Med. Chem. Lett., 13, p. 3059 (2003)",12941333
354,CHEMBL187985,"Bioorg. Med. Chem. Lett., 15, p. 3407 (2005)",15955699
355,CHEMBL188268,"Bioorg. Med. Chem. Lett., 15, p. 3407 (2005)",15955699
356,CHEMBL365072,"Bioorg. Med. Chem. Lett., 15, p. 3407 (2005)",15955699
357,CHEMBL191105,"Bioorg. Med. Chem. Lett., 15, p. 3407 (2005)",15955699
358,CHEMBL1909376,"J. Med. Chem., 51, p. 5663 (2008)",18800763
359,CHEMBL1909384,"J Pharmacol Exp Ther, 320, p. 89 (2007)",17018693
360,CHEMBL233002,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
361,CHEMBL346551,"Bioorg. Med. Chem. Lett., 11, p. 635 (2001)",11266159
362,CHEMBL1909406,"Bioorg. Med. Chem. Lett., 8, p. 3111 (1998)",9873686
363,CHEMBL266707,"J. Med. Chem., 45, p. 999 (2002)",11855979
