CHEMBL_ID,TARGETS
CHEMBL205158,ALK5
CHEMBL1909372,TIE2/VEGFR2
CHEMBL269985,p38a
CHEMBL1909373,TIE2/VEGFR2
CHEMBL205798,EGFR/ErbB2
CHEMBL495771,CDK2/CDK4
CHEMBL402108,p38a
CHEMBL1909374,TIE2/VEGFR2
CHEMBL208437,ALK5
CHEMBL257113,p38a
CHEMBL477583,p38a
CHEMBL1909382,LCK
CHEMBL1909396,TIE2/VEGFR2
CHEMBL477182,p38a
CHEMBL1794073,VEGFR2
CHEMBL588025,TIE2/VEGFR2
CHEMBL1909359,VEGFR2
CHEMBL207410,EGFR/ErbB2
CHEMBL476351,p38a
CHEMBL495696,CDK2/CDK4
CHEMBL468963,CDK2/CDK4
CHEMBL1882194,CDK2/CDK4
CHEMBL365663,ALK5
CHEMBL513330,CDK2/CDK4
CHEMBL251549,LCK
CHEMBL477978,p38a
CHEMBL517507,p38a
CHEMBL1909383,GSK3b
CHEMBL475761,EGFR/ErbB2
CHEMBL306865,GSK3b
CHEMBL426800,MSK1
CHEMBL361237,ALK5
CHEMBL477979,p38a
CHEMBL185238,ALK5
CHEMBL67241,GSK3b
CHEMBL205765,EGFR/ErbB2
CHEMBL396107,TIE2/VEGFR2
CHEMBL273564,TIE2/VEGFR2
CHEMBL516908,p38a
CHEMBL517666,p38a
CHEMBL381604,EGFR/ErbB2
CHEMBL359999,GSK3b
CHEMBL516248,PLK1
CHEMBL359963,CDK2/CDK4
CHEMBL361894,GSK3b
CHEMBL188381,VEGFR2
CHEMBL479038,p38a
CHEMBL207247,EGFR/ErbB2
CHEMBL188426,GSK3b
CHEMBL442363,GSK3b
CHEMBL189353,VEGFR2
CHEMBL365248,GSK3b
CHEMBL187081,GSK3b
CHEMBL66292,GSK3b
CHEMBL183993,GSK3b
CHEMBL204934,GSK3b
CHEMBL206010,GSK3b
CHEMBL69757,GSK3b
CHEMBL65884,GSK3b
CHEMBL189415,GSK3b
CHEMBL182283,GSK3b
CHEMBL495902,p38a
CHEMBL1909351,CDK2
CHEMBL365297,GSK3b
CHEMBL362155,GSK3b
CHEMBL186213,GSK3b
CHEMBL188257,GSK3b
CHEMBL427159,GSK3b
CHEMBL185939,GSK3b
CHEMBL188784,GSK3b
CHEMBL189148,GSK3b
CHEMBL188794,GSK3b
CHEMBL305477,GSK3b
CHEMBL303687,GSK3b
CHEMBL434729,GSK3b
CHEMBL1909360,VEGFR2
CHEMBL1909361,VEGFR2
CHEMBL1909362,VEGFR2
CHEMBL103104,CDK2
CHEMBL103115,CDK2
CHEMBL188247,GSK3b
CHEMBL189459,GSK3b
CHEMBL520037,PLK1
CHEMBL514499,PLK1
CHEMBL232601,JNK2/JNK3
CHEMBL514162,PLK1
CHEMBL481510,PLK1
CHEMBL480371,PLK1
CHEMBL241517,TIE2/VEGFR2
CHEMBL519881,PLK1
CHEMBL507329,EGFR/ErbB2
CHEMBL486124,PLK1
CHEMBL506153,AKT1
CHEMBL14112,p38a
CHEMBL274863,p38a
CHEMBL1909407,p38a
CHEMBL95207,p38a
CHEMBL95502,p38a
CHEMBL1888586,p38a
CHEMBL330422,p38a
CHEMBL318892,p38a
CHEMBL275798,p38a
CHEMBL269450,p38a
CHEMBL275724,p38a
CHEMBL428877,p38a
CHEMBL13972,p38a
CHEMBL13868,p38a
CHEMBL273611,p38a
CHEMBL14014,p38a
CHEMBL417804,p38a
CHEMBL275666,p38a
CHEMBL1785004,p38a
CHEMBL418348,p38a
CHEMBL1785002,p38a
CHEMBL1785003,p38a
CHEMBL275200,p38a
CHEMBL275168,p38a
CHEMBL1909400,p38a
CHEMBL1909401,p38a
CHEMBL156524,GSK3b
CHEMBL397570,JNK2/JNK3
CHEMBL352222,GSK3b
CHEMBL160876,GSK3b
CHEMBL347580,GSK3b
CHEMBL156263,GSK3b
CHEMBL157258,GSK3b
CHEMBL160937,GSK3b
CHEMBL1909377,ALK5
CHEMBL156987,GSK3b
CHEMBL160333,GSK3b
CHEMBL267228,ALK5
CHEMBL1909378,ALK5
CHEMBL399410,TIE2
CHEMBL1909412,b-RAF
CHEMBL1909414,b-RAF
